latex,ex,t1_2,i,m_nm,z
$^{86}_{40}Zr$,_,_,5-/7-/9-,avge g = +0.5(2),40
$^{88}_{40}Zr$,2889,1.32 μs,8+,-1.81(2),40
$^{89}_{40}Zr$,0,78.4 h,9/2+,-1.08(2),40
$^{90}_{40}Zr$,2319,0.8 s,5-,6.25(13),40
$^{91}_{40}Zr$,0,stable,5/2+,-1.30362(2),40
$^{92}_{40}Zr$,934,4.85 ps,2+,-0.06(10),40
$^{94}_{40}Zr$,918,7.3 ps,2+,-0.52(12),40
$^{95}_{40}Zr$,0,64.0 d,5/2+,1.13(2),40
$^{97}_{40}Zr$,1264,102 ns,7/2+,+1.37(14),40
$^{99}_{40}Zr$,122,1.07 ns,3/2+,+0.42(6),40
$^{100}_{40}Zr$,213,0.61 ns,2+,0.52(12),40
$^{87}_{87}Nb$,2412,58 ps,17/2-,+7.0(9),87
$^{89}_{41}Nb$,0,2.0 h,9/2+,6.216(5),41
$^{90}_{41}Nb$,0,14.6 h,8+,4.961(4),41
$^{91}_{41}Nb$,1985,10 ns,13/2-,+9.14(13),41
$^{92}_{41}Nb$,135,10.15 d,2+,(+)6.137(4),41
$^{93}_{41}Nb$,0,stable,9/2+,+6.1705(3),41
$^{95}_{41}Nb$,0,35.2 d,9/2+,6.141(5),41
$^{96}_{41}Nb$,0,23.4 h,6+,4.976(4),41
$^{97}_{41}Nb$,0,72.1 m,9/2+,6.153(5),41
$^{88}_{42}Mo$,_,_,"6+,8+",avge g = +0.5(3),42
$^{89}_{42}Mo$,2584,9.5 ns,21/2+,+8.3(4),42
$^{90}_{42}Mo$,2594,16 ps,5-,+5.5(14),42
$^{91}_{42}Mo$,2267,47 ns,21/2+,+8.81(8),42
$^{92}_{42}Mo$,2760,190 ns,8+,+11.30(5),42
$^{93}_{42}Mo$,2425,6.85 h,21/2+,(+)9.93(8),42
$^{94}_{42}Mo$,871,2.9 ps,2+,NA,42
$^{95}_{42}Mo$,0,stable,5/2+,-0.9142(1),42
$^{96}_{42}Mo$,778,3.7 ps,2+,NA,42
$^{97}_{42}Mo$,0,stable,5/2+,-0.9335(1),42
$^{98}_{42}Mo$,787,3.5 ps,2+,+0.7(4),42
$^{99}_{42}Mo$,0,65.9 h,1/2+,0.375(3),42
$^{100}_{42}Mo$,536,10.3 ps,2+,+0.7(4),42
$^{102}_{42}Mo$,297,0.11 ns,2+,0.84(14),42
$^{104}_{42}Mo$,192,0.9 ns,2+,0.4(2),42
$^{107}_{42}Mo$,66,245 ns,_,g = -0.92(3),42
$^{92}_{43}Tc$,2002,3.2 ns,11-,+8.9(3),43
$^{93}_{43}Tc$,0,2.75 h,9/2+,6.32(6),43
$^{94}_{43}Tc$,0,293 m,7+,5.12(5),43
$^{95}_{43}Tc$,0,20.0 h,9/2+,5.94(6),43
$^{96}_{43}Tc$,0,4.28 d,7+,5.09(5),43
$^{99}_{43}Tc$,0,2.1x10*5y,9/2+,+5.6847(4),43
$^{108}_{43}Tc$,>153,100 ns,NA,g = +0.50(4),43
$^{93}_{44}Ru$,2082,2.4 μs,21/2+,+8.97(2),44
$^{94}_{44}Ru$,2498,65 ns,6+,+8.12(5),44
$^{95}_{44}Ru$,0,1.64 h,5/2+,0.861(7),44
$^{96}_{44}Ru$,833,2.7 ps,2+,NA,44
$^{97}_{44}Ru$,0,2.88 d,5/2+,(-)0.787(8),44
$^{98}_{44}Ru$,653,5.9 ps,2+,+0.8(6),44
$^{99}_{44}Ru$,0,stable,5/2+,-0.641(5),44
$^{100}_{44}Ru$,540,12 ps,2+,+1.02(13),44
$^{101}_{44}Ru$,0,stable,5/2+,-0.719(6),44
$^{102}_{44}Ru$,475,18 ps,2+,+0.74(6),44
$^{103}_{44}Ru$,0,39.4 d,3/2+,0.206(3),44
$^{104}_{44}Ru$,358,58 ps,2+,+0.82(10),44
$^{105}_{44}Ru$,0,4.44h,3/2+,(-)0.32(+8/-20),44
$^{109}_{44}Ru$,>95,780 ns,NA,g = -0.22(1),44
$^{95}_{45}Rh$,2236,19 ns,17/2-,+10.9(3),45
$^{99}_{45}Rh$,65,4.7 h,9/2+,5.62(6),45
$^{100}_{45}Rh$,75,215 ns,2+,+4.324(8),45
$^{101}_{45}Rh$,157,4.34 d,9/2+,5.43(6),45
$^{102}_{45}Rh$,0,206 d,2-,0.5(4),45
$^{103}_{45}Rh$,0,stable,1/2-,-0.8840(2),45
$^{104}_{45}Rh$,215.5 + x,47 ns,6-,+2.00(6),45
$^{105}_{45}Rh$,0,35.4 h,7/2+,4.41(5),45
$^{106}_{45}Rh$,0,29.8 s,1+,2.575(7),45
$^{96}_{46}Pd$,2532,2.22 μs,8+,+10.97(6),46
$^{101}_{46}Pd$,0,8.5 h,5/2+,(-)0.66(2),46
$^{102}_{46}Pd$,556,11.3 ps,2+,+0.82(8),46
$^{103}_{46}Pd$,785,25 ns,11/2-,-1.05(6),46
$^{104}_{46}Pd$,556,9.7 ps,2+,+0.92(8),46
$^{105}_{46}Pd$,0,stable,5/2+,-0.642(3),46
$^{108}_{46}Pd$,434,23 ps,2+,+0.72(6),46
$^{110}_{46}Pd$,374,46 ps,2+,+0.62(6),46
$^{101}_{47}Ag$,0,11.4 m,9/2+,5.7(4),47
$^{102}_{47}Ag$,0,13 m,5+,4.6(7),47
$^{103}_{47}Ag$,0,1.10 h,7/2+,+4.47(5),47
$^{104}_{47}Ag$,0,69 m,5+,3.917(8),47
$^{105}_{47}Ag$,0,41.3 d,1/2-,0.1014(10),47
$^{106}_{47}Ag$,0,24 m,1+,+2.9(2),47
$^{107}_{47}Ag$,0,stable,1/2-,-0.11357(2),47
$^{108}_{47}Ag$,0,2.4 m,1+,2.6884(7),47
$^{109}_{47}Ag$,0,stable,1/2-,0.13056(2),47
$^{110}_{47}Ag$,0,24.4 s,1+,2.7271(8),47
$^{111}_{47}Ag$,0,7.45 d,1/2-,-0.146(2),47
$^{112}_{47}Ag$,0,3.14 h,2(-),0.0547(5),47
$^{113}_{47}Ag$,0,5.37 h,1/2-,0.159(2),47
$^{100}_{48}Cd$,2548,73 ns,8+,9.9(5),48
$^{102}_{48}Cd$,2718,56 ns,8+,10.3(2),48
$^{103}_{48}Cd$,0,7.3 m,5/2+,-0.81(3),48
$^{105}_{48}Cd$,0,56 m,5/2+,-0.7393(2),48
$^{106}_{48}Cd$,633,7.3 ps,2+,+0.8(2),48
$^{107}_{48}Cd$,0,6.50 h,5/2+,-0.6150554(11),48
$^{108}_{48}Cd$,633,6.8 ps,2+,+0.7(2),48
$^{109}_{48}Cd$,0,453 d,5/2+,-0.8278461(15),48
$^{110}_{48}Cd$,658,5.0 ps,2+,+0.57(11),48
$^{111}_{48}Cd$,0,stable,1/2+,-0.5948861(8),48
$^{112}_{48}Cd$,617,6.2 ps,2+,+0.6(2),48
$^{113}_{48}Cd$,0,9x10*15 y,1/2+,-0.6223009(9),48
$^{114}_{48}Cd$,558,9.0 ps,2+,+0.58(14),48
$^{115}_{48}Cd$,0,53.4 h,1/2+,-0.6484259(12),48
$^{116}_{48}Cd$,514,15 ps,2+,+0.60(14),48
$^{104}_{49}In$,0,1.7 m,5+,+4.44(2),49
$^{105}_{49}In$,0,5.07 m,9/2+,+5.675(5),49
$^{106}_{49}In$,0,6.2 m,7+,+4.916(7),49
$^{107}_{49}In$,0,32.4 min,9/2+,+5.585(8),49
$^{108}_{49}In$,0,58 m,7+,+4.561(3),49
$^{109}_{49}In$,0,4.2 h,9/2+,+5.538(4),49
$^{110}_{49}In$,0*,69.1 m,2+,+4.365(4),49
$^{111}_{49}In$,0,2.83 d,9/2+,+5.503(7),49
$^{112}_{49}In$,0*,14.4 m,1+,+2.82(3),49
$^{113}_{49}In$,0,stable,9/2+,+5.5289(2),49
