-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 72-Hf-168      57.30      6.85   EC      25.95    M     3.05E-05  
 58-Ce-143      57.36     11.73   B-      33.039   H     6.84E-07  
 52-Te-127      57.63      0.5    B-      109      D     3.68E-10  
 58-Ce-149      57.7    *100.     B-      5.3      S   * 1.31E-01  
 67-Ho-162      57.74      4.4    IT      67.0     M     7.59E-06  
 92-U -232      57.78      0.2    Alpha   68.9     Y     6.38E-13  
 62-Sm-153      58.0       1.14   IT      10.6    MS     7.45E-01  
 64-Gd-159      58.00      2.49   B-      18.479   H     2.59E-07  
 66-Dy-159      58.0       2.22   EC      144.4    D     1.23E-09  
 95-Am-247      58.03      0.53   B-      23.0     M     2.66E-06  
" 25-Mn- 48      58.2      18.76   EC,P    158.1   MS     8.22E-01  "
 58-Ce-133      58.39     19.25   EC      4.9      H     7.56E-06  
 58-Ce-127      58.4       7.3    B+      31       S     1.63E-03  
100-Fm-255      58.48      0.8    Alpha   20.07    H     7.67E-08  
 26-Fe- 60      58.60      --     B-      1.5E+6   Y          N/A  
 27-Co- 60      58.60      --     IT      10.467   M          N/A  
 63-Eu-140  <   59.        --     IT      125     MS          N/A  
 67-Ho-168  ~   59.        0.04   IT      132      S     2.10E-06  
 75-Re-186      59.01     17.83   IT      2.0E+5   Y     1.96E-14  
 59-Pr-144      59.03      --     IT      7.2      M          N/A  
 77-Ir-189      59.05      1.2    EC      13.2     D     7.29E-09  
 92-U -237      59.54     34.5    B-      6.75     D     4.10E-07  
 94-Pu-237      59.54      3.28   EC      45.64    D     5.77E-09  
 95-Am-241      59.54     35.9    Alpha   432.6    Y     1.82E-11  
 31-Ga- 74      59.7       --     IT      9.5      S          N/A  
 47-Ag-111      59.77      0.53   IT      64.8     S     5.67E-05  
 48-Cd-109      59.9       9.5    IT      12      US     5.49E+03  
 67-Ho-160      59.98      0.08   IT      5.02     H     3.07E-08  
 68-Er-160      59.98      0.08   EC      28.58    H     5.39E-09  
 54-Xe-118      60.0    * 88.     B+      3.8      M   * 2.68E-03  
 77-Ir-185      60.0       5.74   EC      14.4     H     7.67E-07  
 99-Es-255      60.        --     B-      39.8     D          N/A  
 79-Au-200      60.08      3.3    IT      18.7     H     3.40E-07  
 49-In-121      60.1   ~  20.55   B-      3.88     M  ~  6.12E-04  
 80-Hg-183      60.5    *357.6    EC      8.8      S   * 2.82E-01  
 82-Pb-183      60.6       --     Alpha   415     MS          N/A  
 66-Dy-157      61.0       6.9    IT      21.6    MS     2.21E+00  
 31-Ga- 65      61.20     11.39   EC      15.2     M     8.66E-05  
 62-Sm-145      61.23     12.15   EC      340      D     2.87E-09  
 74-W -176      61.29   *152.     EC      2.5      H   * 1.17E-04  
 61-Pm-148      61.30      --     IT      41.29    D          N/A  
 18-Ar- 45      61.34     24.99   B-      21.48    S     8.06E-03  
 30-Zn- 60      61.4      25.6    EC      2.38     M     1.24E-03  
 51-Sb-122      61.41     55.39   IT      4.191    M     1.53E-03  
 79-Au-195      61.46      0.17   IT      30.5     S     3.86E-05  
 80-Hg-195      61.46      6.37   EC      10.53    H     1.16E-06  
100-Fm-257      61.6       1.45   Alpha   100.5    D     1.16E-09  
 51-Sb-133      61.7      30.     IT      3       US     6.93E+04  
 55-Cs-123      61.7       0.36   IT      1.64     S     1.52E-03  
 60-Nd-133      61.7      13.02   EC      70       S     1.29E-03  
 81-Tl-183      61.8       1.13   Alpha   53.3    MS     1.47E-01  
 32-Ge- 75      61.92      0.01   IT      47.7     S     1.45E-06  
 32-Ge- 65      62.0      26.73   EC      30.9     S     6.00E-03  
 72-Hf-163      62.14   * 64.     EC      40.0     S   * 1.11E-02  
 24-Cr- 49      62.29     16.39   B+      42.3     M     4.48E-05  
 83-Bi-214      62.5       --     Alpha   19.9     M          N/A  
 58-Ce-145      62.54     13.33   B-      3.01     M     5.12E-04  
 69-Tm-173      62.6       0.88   B-      8.24     H     2.06E-07  
