Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
38 Sr 93,0,7.4 m,5/2+,-0.793(2),93,38,Sr,$^{93}_{38}Sr$
38 Sr 95,0,10.3 m,1/2-,-0.537(2),95,38,Sr,$^{95}_{38}Sr$
38 Sr 97,0,0.40 s,1/2-,-0.498(2),97,38,Sr,$^{97}_{38}Sr$
38 Sr 98,144,2.8 ns,2+,0.76(14),98,38,Sr,$^{98}_{38}Sr$
38 Sr 99,0,0.269 s,3/2+,-0.261(5),99,38,Sr,$^{99}_{38}Sr$
39 Y 83,145,171 ps,7/2+,+2.1(6),83,39,Y,$^{83}_{39}Y$
39 Y 85,20,4.9 h,9/2+,6.2(5),85,39,Y,$^{85}_{39}Y$
39 Y 86,0,14.5 h,4-,<0.6,86,39,Y,$^{86}_{39}Y$
39 Y 87,381,12.7 h,9/2+,6.06(7),87,39,Y,$^{87}_{39}Y$
39 Y 88,675,14 ms,8+,+4.87(5),88,39,Y,$^{88}_{39}Y$
39 Y 89,0,stable,1/2-,-0.1374154(3),89,39,Y,$^{89}_{39}Y$
39 Y 90,0,64.1 h,2-,-1.630(8),90,39,Y,$^{90}_{39}Y$
39 Y 91,0,58.5 d,1/2-,0.1641(8),91,39,Y,$^{91}_{39}Y$
40 Zr 86,_,_,5-/7-/9-,avge g = +0.5(2),86,40,Zr,$^{86}_{40}Zr$
40 Zr 88,2889,1.32 μs,8+,-1.81(2),88,40,Zr,$^{88}_{40}Zr$
40 Zr 89,0,78.4 h,9/2+,-1.08(2),89,40,Zr,$^{89}_{40}Zr$
