nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
16-S-29,1383.55,187,MS,0.001,0.187,16,29,S,$^{29}_{16}S$,3.52e-6,29S
16-S-29,1778.97,187,MS,0.001,0.187,16,29,S,$^{29}_{16}S$,3.52e-6,29S
16-S-29,1953.91,187,MS,0.001,0.187,16,29,S,$^{29}_{16}S$,3.52e-6,29S
16-S-29,2422.7,187,MS,0.001,0.187,16,29,S,$^{29}_{16}S$,3.52e-6,29S
16-S-29,2838.67,187,MS,0.001,0.187,16,29,S,$^{29}_{16}S$,3.52e-6,29S
16-S-30,677.01,1.178,S,1,1.178,16,30,S,$^{30}_{16}S$,5.588e-7,30S
16-S-30,708.7,1.178,S,1,1.178,16,30,S,$^{30}_{16}S$,5.588e-7,30S
16-S-30,2342.2,1.178,S,1,1.178,16,30,S,$^{30}_{16}S$,5.588e-7,30S
16-S-31,1266.15,2.572,S,1,2.572,16,31,S,$^{31}_{16}S$,2.559e-7,31S
16-S-38,1745.77,170.3,M,60,10218,16,38,S,$^{38}_{16}S$,6.442e-11,38S
16-S-38,1941.94,170.3,M,60,10218,16,38,S,$^{38}_{16}S$,6.442e-11,38S
16-S-38,2750.98,170.3,M,60,10218,16,38,S,$^{38}_{16}S$,6.442e-11,38S
16-S-39,396.5,11.5,S,1,11.5,16,39,S,$^{39}_{16}S$,5.724e-8,39S
16-S-39,1300.52,11.5,S,1,11.5,16,39,S,$^{39}_{16}S$,5.724e-8,39S
16-S-39,1696.62,11.5,S,1,11.5,16,39,S,$^{39}_{16}S$,5.724e-8,39S
16-S-40,211.9,8.8,S,1,8.8,16,40,S,$^{40}_{16}S$,7.48e-8,40S
16-S-40,677.9,8.8,S,1,8.8,16,40,S,$^{40}_{16}S$,7.48e-8,40S
16-S-40,1013.7,8.8,S,1,8.8,16,40,S,$^{40}_{16}S$,7.48e-8,40S
16-S-41,761,1.99,S,1,1.99,16,41,S,$^{41}_{16}S$,3.308e-7,41S
16-S-41,1266.2,1.99,S,1,1.99,16,41,S,$^{41}_{16}S$,3.308e-7,41S
16-S-41,1404.8,1.99,S,1,1.99,16,41,S,$^{41}_{16}S$,3.308e-7,41S
16-S-42,118.6,1.013,S,1,1.013,16,42,S,$^{42}_{16}S$,6.498e-7,42S
16-S-42,723.5,1.013,S,1,1.013,16,42,S,$^{42}_{16}S$,6.498e-7,42S
16-S-42,1281.5,1.013,S,1,1.013,16,42,S,$^{42}_{16}S$,6.498e-7,42S
16-S-43,319,0.48,US,1e-6,4.8e-7,16,43,S,$^{43}_{16}S$,1.371,43S
17-Cl-31,2235.6,150,MS,0.001,0.15,17,31,Cl,$^{31}_{17}Cl$,4.388e-6,31Cl
17-Cl-32,2230.3,298,MS,0.001,0.298,17,32,Cl,$^{32}_{17}Cl$,2.209e-6,32Cl
17-Cl-32,2465.1,298,MS,0.001,0.298,17,32,Cl,$^{32}_{17}Cl$,2.209e-6,32Cl
17-Cl-33,840.99,2.511,S,1,2.511,17,33,Cl,$^{33}_{17}Cl$,2.621e-7,33Cl
17-Cl-33,1967.12,2.511,S,1,2.511,17,33,Cl,$^{33}_{17}Cl$,2.621e-7,33Cl
17-Cl-33,2867.59,2.511,S,1,2.511,17,33,Cl,$^{33}_{17}Cl$,2.621e-7,33Cl
17-Cl-34,146.36,32,M,60,1920,17,34,Cl,$^{34}_{17}Cl$,3.428e-10,34Cl
17-Cl-34,1176.63,32,M,60,1920,17,34,Cl,$^{34}_{17}Cl$,3.428e-10,34Cl
17-Cl-34,2127.49,32,M,60,1920,17,34,Cl,$^{34}_{17}Cl$,3.428e-10,34Cl
17-Cl-38,671.36,715,MS,0.001,0.715,17,38,Cl,$^{38}_{17}Cl$,9.206e-7,38Cl
17-Cl-38,1642.43,37.23,M,60,2233.7999999999997,17,38,Cl,$^{38}_{17}Cl$,2.947e-10,38Cl
17-Cl-38,2167.54,37.23,M,60,2233.7999999999997,17,38,Cl,$^{38}_{17}Cl$,2.947e-10,38Cl
17-Cl-39,250.33,55.6,M,60,3336,17,39,Cl,$^{39}_{17}Cl$,1.973e-10,39Cl
17-Cl-39,1267.19,55.6,M,60,3336,17,39,Cl,$^{39}_{17}Cl$,1.973e-10,39Cl
17-Cl-39,1517.5,55.6,M,60,3336,17,39,Cl,$^{39}_{17}Cl$,1.973e-10,39Cl
17-Cl-40,1460.73,1.35,M,60,81,17,40,Cl,$^{40}_{17}Cl$,8.126e-9,40Cl
